PR,import_sha,import_time,latency
10341,3313dfae9677539e89e141eef9735517974e38ba,2018-04-26T13:42:28+00:00,340.78333333333336
10344,6627732d5b0f5c1d6ade53d1e3fac22905bb2ec5,2018-04-06T15:44:30+00:00,293.78333333333336
10345,6627732d5b0f5c1d6ade53d1e3fac22905bb2ec5,2018-04-06T15:44:30+00:00,216.06666666666666
10346,13f227baa3bcec96f6c54703863b6734280714ab,2018-04-06T23:51:33+00:00,385.45
10348,f7a099e5cb62a2e99b0a8c36d84866e88460c494,2018-05-29T21:46:43+00:00,287.81666666666666
10353,267cce4ca484081cfddeadf2a9a3ba97fcefd700,2018-04-08T22:17:24+00:00,2651.633333333333
10354,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,1786.6166666666666
10356,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2594.2833333333333
10357,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2593.866666666667
10358,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2706.95
10360,267cce4ca484081cfddeadf2a9a3ba97fcefd700,2018-04-08T22:17:24+00:00,1032.6166666666666
10361,267cce4ca484081cfddeadf2a9a3ba97fcefd700,2018-04-08T22:17:24+00:00,736.7166666666667
10367,f1282db35b7db81cb5b819d3c5e070254661b11a,2018-04-09T08:28:05+00:00,169.98333333333332
10368,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2757.7833333333333
10370,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2691.766666666667
10376,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2111.9333333333334
10380,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2373.8166666666666
10381,3325d94a792a7344de970a8a124d07650f143fba,2018-05-18T00:48:56+00:00,123.48333333333333
10382,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2272.266666666667
10383,de858fc13f1f2e2041fef8ab9836b46a28e8c21a,2018-04-14T21:46:49+00:00,118.86666666666666
10387,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,1803.7666666666667
10389,f7a099e5cb62a2e99b0a8c36d84866e88460c494,2018-05-29T21:46:43+00:00,234.31666666666666
10393,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,1241.0833333333333
10396,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,3053.133333333333
10397,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2685.65
10401,4d95ad21c1cde96340fc1ff640f5cc1a3457a91c,2018-04-18T05:12:49+00:00,657.15
10403,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,623.1
10404,fbcb673e9d1cf40a82555a8cae6298ed38bfc317,2018-04-20T18:23:14+00:00,150.1
10406,ec2d4ae90a08738eb616bb2ab1c0fee5a551e0d6,2018-04-28T12:29:23+00:00,1112.3333333333333
10407,c27cdcd69995d4a1609c66b517c0770c9a505bff,2018-04-30T14:47:22+00:00,126.08333333333333
10408,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,440.98333333333335
10409,6c0c329a8ff263459ad8daa075a934b227f141e2,2018-04-17T11:24:58+00:00,241.2
10410,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2589.6833333333334
10412,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,629.8166666666667
10413,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2298.3
10414,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2349.4333333333334
10415,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2454.8166666666666
10416,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2265.383333333333
10417,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2155.35
10418,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2264.0833333333335
10419,95f7aa933737d58cebab52e13a2fdad035738da6,2018-04-25T06:40:15+00:00,1255.55
10421,ec5cb40ce109285c1bd1b956f1d5757710565aee,2018-04-16T16:27:36+00:00,591.5666666666667
10422,1b30ce62ee279af0f4831086b3a87181f50651fd,2018-04-14T15:52:36+00:00,255.16666666666666
10424,18a8a2c94c50e7d7df6593e6fc3f9c904adb77d4,2018-08-28T09:20:14+00:00,192.86666666666667
10425,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,460.9
10426,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,1119.8666666666666
10427,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,1716.1
10429,47368e6111bd83467e7dc02da0c899383f539e81,2018-04-13T09:25:20+00:00,131.45
10430,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2049.9
10431,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2146.1833333333334
10432,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,1855.5833333333333
10433,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2091.883333333333
10435,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,1934.1
10437,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,839.15
10441,07da476411523d49bbfcc364b2f7ec9bfbbfa326,2018-04-18T10:10:43+00:00,123.35
10442,95f7aa933737d58cebab52e13a2fdad035738da6,2018-04-25T06:40:15+00:00,862.8833333333333
10443,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,522.0166666666667
10444,34971c3e4668dae569afc2c47e58c7590f7c4fe3,2018-04-16T02:09:46+00:00,314.7
10445,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,798.6333333333333
10446,d3c805cab9a59175f92cde68f06d7efc049470c9,2018-05-02T22:20:07+00:00,238.96666666666667
10453,0ec6ddedfad9ca876e9f486ce5a7258e741bcf0d,2018-04-17T03:04:49+00:00,224.08333333333334
10455,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,446.01666666666665
10460,a8b3949f473291ac6d1cb85ed977a91c005c585b,2018-04-13T18:33:02+00:00,286.06666666666666
10461,95f7aa933737d58cebab52e13a2fdad035738da6,2018-04-25T06:40:15+00:00,1244.8666666666666
10462,a8b3949f473291ac6d1cb85ed977a91c005c585b,2018-04-13T18:33:02+00:00,104.75
10466,88a62715e0cf43ceaacaaf2ee05482fb6e876cef,2018-04-14T05:43:45+00:00,439.7
10470,fde64773f7dcc6558a54377f7bfa01efb07642a3,2018-04-14T19:05:48+00:00,212.3
10472,bf3cc405ed06d0f5d4223c4aa3a3f75101122c4a,2018-04-28T21:39:42+00:00,125.05
10473,b2a67e5620907584296efe4efe7ea15d1088569a,2018-04-15T16:24:52+00:00,421.7
10478,e698b5bac4f0470ea253d7428a7fca3b7ed4d5af,2018-06-01T04:51:46+00:00,193.05
10479,95f7aa933737d58cebab52e13a2fdad035738da6,2018-04-25T06:40:15+00:00,918.9833333333333
10480,cd710cce357ba737d86b586a6bc16487947aa838,2018-04-16T19:45:27+00:00,480.75
10481,34971c3e4668dae569afc2c47e58c7590f7c4fe3,2018-04-16T02:09:46+00:00,975.45
10484,cd710cce357ba737d86b586a6bc16487947aa838,2018-04-16T19:45:27+00:00,315.51666666666665
10485,ec5cb40ce109285c1bd1b956f1d5757710565aee,2018-04-16T16:27:36+00:00,548.2833333333333
10486,6c0c329a8ff263459ad8daa075a934b227f141e2,2018-04-17T11:24:58+00:00,383.0
10487,e1a8cd5e34244364514cb8d6c50c2c39e6f3c1d5,2018-04-17T04:42:42+00:00,219.63333333333333
10488,95f7aa933737d58cebab52e13a2fdad035738da6,2018-04-25T06:40:15+00:00,220.06666666666666
10489,c1772a82236f6437266a4029a1938b6344ab4462,2018-04-17T16:53:38+00:00,100.13333333333334
10491,4d95ad21c1cde96340fc1ff640f5cc1a3457a91c,2018-04-18T05:12:49+00:00,310.26666666666665
10493,0ec6ddedfad9ca876e9f486ce5a7258e741bcf0d,2018-04-17T03:04:49+00:00,185.7
10494,c1772a82236f6437266a4029a1938b6344ab4462,2018-04-17T16:53:38+00:00,435.8
10499,4d95ad21c1cde96340fc1ff640f5cc1a3457a91c,2018-04-18T05:12:49+00:00,310.5833333333333
10500,95f7aa933737d58cebab52e13a2fdad035738da6,2018-04-25T06:40:15+00:00,207.58333333333334
10505,c1772a82236f6437266a4029a1938b6344ab4462,2018-04-17T16:53:38+00:00,206.05
10506,90da8728907e47b14a999c4d6b3dd5ebb9c6368a,2018-04-17T18:54:03+00:00,181.66666666666666
10507,90da8728907e47b14a999c4d6b3dd5ebb9c6368a,2018-04-17T18:54:03+00:00,150.11666666666667
10508,89cb1eb15e0c4d121abb6c66c2b157206fd0a436,2018-05-17T23:05:16+00:00,571.6
10509,f5d153b8ba533607169b4505efe54a543f0a42e6,2018-04-18T14:57:58+00:00,178.73333333333332
10515,07d8614f7987e42a89716d12ca89522aecc5551a,2018-04-18T12:30:31+00:00,154.71666666666667
10516,f5d153b8ba533607169b4505efe54a543f0a42e6,2018-04-18T14:57:58+00:00,243.55
10517,f5d153b8ba533607169b4505efe54a543f0a42e6,2018-04-18T14:57:58+00:00,234.16666666666666
10518,136dadd4dd42bfcaff41bc6a2674d2a6cdde5a45,2018-04-18T21:24:26+00:00,211.01666666666668
10519,89cb1eb15e0c4d121abb6c66c2b157206fd0a436,2018-05-17T23:05:16+00:00,569.8166666666667
10520,5256f6521b94cab852dc60c9c5e0e0ecff5861f5,2018-05-17T20:38:59+00:00,483.6
10521,95f7aa933737d58cebab52e13a2fdad035738da6,2018-04-25T06:40:15+00:00,1031.6166666666666
